Region,Key,Value
North Country,Regional School Alums as a Percent of Total Alums,73.77
Southern Tier,Regional School Alums as a Percent of Total Alums,54.64
Western NY,Regional School Alums as a Percent of Total Alums,86.81
Capital District,Regional School Alums as a Percent of Total Grads,22.34
Central New York,Regional School Alums as a Percent of Total Grads,25.04
Finger Lakes,Regional School Alums as a Percent of Total Grads,26.30
Hudson Valley,Regional School Alums as a Percent of Total Grads,16.80
Long Island,Regional School Alums as a Percent of Total Grads,31.71
Mohawk Valley,Regional School Alums as a Percent of Total Grads,42.83
NYC,Regional School Alums as a Percent of Total Grads,7.47
North Country,Regional School Alums as a Percent of Total Grads,53.85
Southern Tier,Regional School Alums as a Percent of Total Grads,31.69
Western NY,Regional School Alums as a Percent of Total Grads,55.56
Capital District,Regional School Alums as a Percent of Total Workforce,22.34
Central New York,Regional School Alums as a Percent of Total Workforce,14.38
Finger Lakes,Regional School Alums as a Percent of Total Workforce,18.35
Hudson Valley,Regional School Alums as a Percent of Total Workforce,8.40
Long Island,Regional School Alums as a Percent of Total Workforce,15.50
Mohawk Valley,Regional School Alums as a Percent of Total Workforce,18.19
NYC,Regional School Alums as a Percent of Total Workforce,0.75
North Country,Regional School Alums as a Percent of Total Workforce,22.87
Southern Tier,Regional School Alums as a Percent of Total Workforce,16.39
Western NY,Regional School Alums as a Percent of Total Workforce,28.65
Capital District,Number of Alums from Non-Regional Schools,"63,000.00"
Central New York,Number of Alums from Non-Regional Schools,"50,000.00"
Finger Lakes,Number of Alums from Non-Regional Schools,"73,000.00"
Hudson Valley,Number of Alums from Non-Regional Schools,"86,000.00"
Long Island,Number of Alums from Non-Regional Schools,"96,000.00"
Mohawk Valley,Number of Alums from Non-Regional Schools,"31,000.00"
NYC,Number of Alums from Non-Regional Schools,"122,000.00"
North Country,Number of Alums from Non-Regional Schools,"16,000.00"
Southern Tier,Number of Alums from Non-Regional Schools,"44,000.00"
Western NY,Number of Alums from Non-Regional Schools,"31,000.00"
Capital District,Non-Regional Alums as a Percent of Total Alums,37.95
Central New York,Non-Regional Alums as a Percent of Total Alums,46.73
Finger Lakes,Non-Regional Alums as a Percent of Total Alums,38.83
Hudson Valley,Non-Regional Alums as a Percent of Total Alums,47.51
Long Island,Non-Regional Alums as a Percent of Total Alums,29.54
Mohawk Valley,Non-Regional Alums as a Percent of Total Alums,41.33
NYC,Non-Regional Alums as a Percent of Total Alums,81.33
North Country,Non-Regional Alums as a Percent of Total Alums,26.23
Southern Tier,Non-Regional Alums as a Percent of Total Alums,45.36
Western NY,Non-Regional Alums as a Percent of Total Alums,13.19
Capital District,Non-Regional Alums as a Percent of Total Grads,13.66
Central New York,Non-Regional Alums as a Percent of Total Grads,21.96
Finger Lakes,Non-Regional Alums as a Percent of Total Grads,16.70
Hudson Valley,Non-Regional Alums as a Percent of Total Grads,15.20
Long Island,Non-Regional Alums as a Percent of Total Grads,13.29
Mohawk Valley,Non-Regional Alums as a Percent of Total Grads,30.17
NYC,Non-Regional Alums as a Percent of Total Grads,32.53
North Country,Non-Regional Alums as a Percent of Total Grads,19.15
Southern Tier,Non-Regional Alums as a Percent of Total Grads,26.31
Western NY,Non-Regional Alums as a Percent of Total Grads,8.44
Capital District,Non-Regional Alums as a Percent of Total Workforce,13.66
Central New York,Non-Regional Alums as a Percent of Total Workforce,12.62
Finger Lakes,Non-Regional Alums as a Percent of Total Workforce,11.65
Hudson Valley,Non-Regional Alums as a Percent of Total Workforce,7.60
Long Island,Non-Regional Alums as a Percent of Total Workforce,6.50
Mohawk Valley,Non-Regional Alums as a Percent of Total Workforce,12.81
NYC,Non-Regional Alums as a Percent of Total Workforce,3.25
North Country,Non-Regional Alums as a Percent of Total Workforce,8.13
Southern Tier,Non-Regional Alums as a Percent of Total Workforce,13.61
Western NY,Non-Regional Alums as a Percent of Total Workforce,4.35
